Details of the solution:
route 0, node_num 6, cost 419.776000, nodes: 0(120000.00, 120000.00) 167 362 204 832 0(90016.00, 90016.00)
route 37, node_num 8, cost 1067.794000, nodes: 0(120000.00, 120000.00) 255 176 347 547 353 343 0(43729.00, 43729.00)
route 38, node_num 8, cost 1145.592000, nodes: 0(120000.00, 120000.00) 77 407 891 507 577 973 0(38172.00, 38172.00)
route 39, node_num 7, cost 1086.260000, nodes: 0(120000.00, 120000.00) 259 565 748 295 155 0(42410.00, 42410.00)
route 40, node_num 7, cost 1336.468000, nodes: 0(120000.00, 120000.00) 660 56 42 747 274 0(24538.00, 24538.00)
route 41, node_num 8, cost 1129.226000, nodes: 0(120000.00, 120000.00) 824 591 894 745 457 959 0(39341.00, 39341.00)
route 42, node_num 7, cost 764.960000, nodes: 0(120000.00, 120000.00) 173 90 868 217 349 0(65360.00, 65360.00)
route 43, node_num 8, cost 746.872000, nodes: 0(120000.00, 120000.00) 542 679 609 625 662 382 0(66652.00, 66652.00)
route 44, node_num 8, cost 831.698000, nodes: 0(120000.00, 120000.00) 780 480 208 982 169 940 0(60593.00, 60593.00)
route 45, node_num 8, cost 996.646000, nodes: 0(120000.00, 120000.00) 731 850 804 288 954 419 0(48811.00, 48811.00)
route 46, node_num 8, cost 821.814000, nodes: 0(120000.00, 120000.00) 621 399 184 893 137 900 0(61299.00, 61299.00)
route 47, node_num 8, cost 1159.368000, nodes: 0(120000.00, 120000.00) 225 895 515 445 849 168 0(37188.00, 37188.00)
route 48, node_num 7, cost 954.660000, nodes: 0(120000.00, 120000.00) 594 899 802 538 297 0(51810.00, 51810.00)
route 49, node_num 7, cost 916.216000, nodes: 0(120000.00, 120000.00) 326 84 206 681 215 0(54556.00, 54556.00)
route 50, node_num 8, cost 957.236000, nodes: 0(120000.00, 120000.00) 801 416 148 221 20 494 0(51626.00, 51626.00)
route 51, node_num 8, cost 994.504000, nodes: 0(120000.00, 120000.00) 825 163 301 275 744 462 0(48964.00, 48964.00)
route 52, node_num 8, cost 985.572000, nodes: 0(120000.00, 120000.00) 615 796 708 624 7 830 0(49602.00, 49602.00)
route 53, node_num 7, cost 894.936000, nodes: 0(120000.00, 120000.00) 57 588 574 299 122 0(56076.00, 56076.00)
route 54, node_num 7, cost 787.934000, nodes: 0(120000.00, 120000.00) 734 551 298 39 147 0(63719.00, 63719.00)
route 55, node_num 8, cost 492.940000, nodes: 0(120000.00, 120000.00) 431 484 771 470 999 589 0(84790.00, 84790.00)
route 56, node_num 7, cost 437.668000, nodes: 0(120000.00, 120000.00) 391 86 776 325 914 0(88738.00, 88738.00)
route 57, node_num 9, cost 563.066000, nodes: 0(120000.00, 120000.00) 555 633 698 991 652 550 981 0(79781.00, 79781.00)
route 58, node_num 7, cost 382.858000, nodes: 0(120000.00, 120000.00) 663 853 822 908 784 0(92653.00, 92653.00)
route 59, node_num 7, cost 475.552000, nodes: 0(120000.00, 120000.00) 179 344 34 136 417 0(86032.00, 86032.00)
route 60, node_num 8, cost 413.980000, nodes: 0(120000.00, 120000.00) 942 279 558 909 485 500 0(90430.00, 90430.00)
route 61, node_num 7, cost 504.056000, nodes: 0(120000.00, 120000.00) 76 886 52 464 396 0(83996.00, 83996.00)
route 62, node_num 8, cost 191.968000, nodes: 0(120000.00, 120000.00) 265 372 650 333 124 226 0(106288.00, 106288.00)
route 63, node_num 6, cost 413.084000, nodes: 0(120000.00, 120000.00) 321 554 972 820 0(90494.00, 90494.00)
route 64, node_num 7, cost 524.510000, nodes: 0(120000.00, 120000.00) 514 249 270 690 2 0(82535.00, 82535.00)
route 65, node_num 6, cost 411.082000, nodes: 0(120000.00, 120000.00) 994 984 94 813 0(90637.00, 90637.00)
route 66, node_num 6, cost 409.500000, nodes: 0(120000.00, 120000.00) 910 263 810 936 0(90750.00, 90750.00)
route 67, node_num 5, cost 283.360000, nodes: 0(120000.00, 120000.00) 481 229 46 0(99760.00, 99760.00)
route 68, node_num 8, cost 654.724000, nodes: 0(120000.00, 120000.00) 529 540 568 855 331 753 0(73234.00, 73234.00)
route 69, node_num 7, cost 391.902000, nodes: 0(120000.00, 120000.00) 222 935 525 634 111 0(92007.00, 92007.00)
route 70, node_num 8, cost 654.150000, nodes: 0(120000.00, 120000.00) 355 706 447 920 539 670 0(73275.00, 73275.00)
route 71, node_num 7, cost 703.780000, nodes: 0(120000.00, 120000.00) 489 320 291 211 37 0(69730.00, 69730.00)
route 72, node_num 8, cost 608.692000, nodes: 0(120000.00, 120000.00) 44 777 312 737 724 575 0(76522.00, 76522.00)
route 73, node_num 7, cost 647.374000, nodes: 0(120000.00, 120000.00) 861 397 190 317 195 0(73759.00, 73759.00)
route 74, node_num 8, cost 1495.172000, nodes: 0(120000.00, 120000.00) 277 839 874 112 962 23 0(13202.00, 13202.00)
route 75, node_num 9, cost 1744.652000, nodes: 0(120000.00, 120000.00) 1012(72845.00, 72845.00) 586 769 269 640 709 1075(12907.00, 17525.00) 0(0.00, 0.00)
route 76, node_num 8, cost 1576.008000, nodes: 0(120000.00, 120000.00) 368 303 941 358 1000 961 0(7428.00, 7428.00)
route 77, node_num 9, cost 1851.668000, nodes: 0(120000.00, 120000.00) 14 260 159 740 811 766 1021 1045(12800.00, 25062.00) 0(0.00, 0.00)
route 78, node_num 8, cost 1622.936000, nodes: 0(120000.00, 120000.00) 380 937 671 183 436 1092(26833.00, 26833.00) 0(4076.00, 4076.00)
route 79, node_num 7, cost 1475.278000, nodes: 0(120000.00, 120000.00) 140 913 951 518 161 0(14623.00, 14623.00)
route 80, node_num 7, cost 1519.812000, nodes: 0(120000.00, 120000.00) 442 108 653 114 109 0(11442.00, 11442.00)
route 81, node_num 7, cost 1369.606000, nodes: 0(120000.00, 120000.00) 475 1004 98 585 989 576 0(22171.00, 22171.00)
route 82, node_num 8, cost 1651.594000, nodes: 0(120000.00, 120000.00) 473 870 967 334 901 1067(16707.00, 16707.00) 0(2029.00, 2029.00)
route 83, node_num 8, cost 1642.900000, nodes: 0(120000.00, 120000.00) 1012 693 200 113 3 851 938 0(2650.00, 2650.00)
route 84, node_num 8, cost 1532.328000, nodes: 0(120000.00, 120000.00) 300 610 836 884 264 252 0(10548.00, 10548.00)
route 85, node_num 6, cost 1418.550000, nodes: 0(120000.00, 120000.00) 79 117 639 18 0(18675.00, 18675.00)
route 86, node_num 7, cost 1659.140000, nodes: 0(120000.00, 120000.00) 533 631 385 828 875 0(1490.00, 1490.00)
route 87, node_num 8, cost 1535.674000, nodes: 0(120000.00, 120000.00) 535 88 129 626 763 476 1034 0(10309.00, 10309.00)
route 88, node_num 6, cost 1440.474000, nodes: 0(120000.00, 120000.00) 257 149 405 889 0(17109.00, 17109.00)
route 89, node_num 7, cost 1497.454000, nodes: 0(120000.00, 120000.00) 998 266 821 370 145 0(13039.00, 13039.00)
route 90, node_num 8, cost 1362.536000, nodes: 0(120000.00, 120000.00) 1078 51 63 92 456 619 732 0(22676.00, 22676.00)
route 91, node_num 8, cost 1315.048000, nodes: 0(120000.00, 120000.00) 361 530 721 43 926 253 0(26068.00, 26068.00)
route 92, node_num 7, cost 1356.222000, nodes: 0(120000.00, 120000.00) 192 236 466 928 534 0(23127.00, 23127.00)
route 93, node_num 8, cost 1465.366000, nodes: 0(120000.00, 120000.00) 153 307 786 48 65 987 0(15331.00, 15331.00)
route 94, node_num 7, cost 1057.910000, nodes: 0(120000.00, 120000.00) 360 657 292 775 444 0(44435.00, 44435.00)
route 95, node_num 7, cost 1029.028000, nodes: 0(120000.00, 120000.00) 966 915 103 866 36 0(46498.00, 46498.00)
route 96, node_num 7, cost 1291.948000, nodes: 0(120000.00, 120000.00) 1003 977 862 772 5 704 0(27718.00, 27718.00)
route 97, node_num 8, cost 1344.392000, nodes: 0(120000.00, 120000.00) 383 379 675 919 934 906 0(23972.00, 23972.00)
route 98, node_num 7, cost 1287.832000, nodes: 0(120000.00, 120000.00) 691 897 845 571 267 0(28012.00, 28012.00)
route 99, node_num 8, cost 1188.292000, nodes: 0(120000.00, 120000.00) 401 337 715 857 803 219 0(35122.00, 35122.00)
route 100, node_num 7, cost 1187.410000, nodes: 0(120000.00, 120000.00) 606 19 628 30 193 0(35185.00, 35185.00)
route 101, node_num 8, cost 944.118000, nodes: 0(120000.00, 120000.00) 896 465 438 101 879 420 0(52563.00, 52563.00)
route 102, node_num 8, cost 1064.770000, nodes: 0(120000.00, 120000.00) 189 375 948 59 569 340 0(43945.00, 43945.00)
route 103, node_num 8, cost 1242.220000, nodes: 0(120000.00, 120000.00) 846 9 165 705 527 435 0(31270.00, 31270.00)
route 104, node_num 8, cost 1311.604000, nodes: 0(120000.00, 120000.00) 516 930 638 367 55 971 0(26314.00, 26314.00)
route 105, node_num 8, cost 984.368000, nodes: 0(120000.00, 120000.00) 135 365 611 831 12 448 0(49688.00, 49688.00)
route 106, node_num 8, cost 1210.650000, nodes: 0(120000.00, 120000.00) 963 27 15 218 13 720 0(33525.00, 33525.00)
route 107, node_num 8, cost 1094.520000, nodes: 0(120000.00, 120000.00) 949 876 722 781 354 369 0(41820.00, 41820.00)
route 108, node_num 7, cost 1198.218000, nodes: 0(120000.00, 120000.00) 979 408 174 402 730 0(34413.00, 34413.00)
route 109, node_num 8, cost 1056.160000, nodes: 0(120000.00, 120000.00) 212 273 345 931 523 443 0(44560.00, 44560.00)
route 110, node_num 8, cost 1619.394000, nodes: 0(120000.00, 120000.00) 487 142 921 858 718 207 0(4329.00, 4329.00)
route 111, node_num 8, cost 1485.722000, nodes: 0(120000.00, 120000.00) 430 700 392 73 564 177 1068 1086 1025 0(13877.00, 13877.00)
route 112, node_num 6, cost 858.858000, nodes: 0(120000.00, 120000.00) 460 738 29 997 0(58653.00, 58653.00)
route 113, node_num 7, cost 1386.686000, nodes: 0(120000.00, 120000.00) 261 770 947 648 186 1040 0(20951.00, 20951.00)
route 114, node_num 8, cost 1705.074000, nodes: 0(120000.00, 120000.00) 924 856 712 779 423 1040(20824.00, 22615.00) 0(0.00, 0.00)
route 115, node_num 7, cost 1416.310000, nodes: 0(120000.00, 120000.00) 684 567 655 404 758 0(18835.00, 18835.00)
route 116, node_num 9, cost 1700.342000, nodes: 0(120000.00, 120000.00) 243 359 841 911 646 509 1040(21162.00, 22615.00) 0(0.00, 0.00)
route 117, node_num 7, cost 1363.516000, nodes: 0(120000.00, 120000.00) 688 562 580 477 316 0(22606.00, 22606.00)
route 118, node_num 8, cost 1430.996000, nodes: 0(120000.00, 120000.00) 933 643 957 49 143 864 0(17786.00, 17786.00)
route 119, node_num 7, cost 1611.904000, nodes: 0(120000.00, 120000.00) 472 156 97 116 560 1067 0(4864.00, 4864.00)
route 120, node_num 7, cost 1617.210000, nodes: 0(120000.00, 120000.00) 834 667 128 1056 848 505 1023 0(4485.00, 4485.00)
route 121, node_num 8, cost 1596.350000, nodes: 0(120000.00, 120000.00) 632 787 99 414 598 72 0(5975.00, 5975.00)
route 122, node_num 8, cost 1385.776000, nodes: 0(120000.00, 120000.00) 304 461 82 854 126 816 0(21016.00, 21016.00)
route 123, node_num 8, cost 1514.156000, nodes: 0(120000.00, 120000.00) 363 247 8 144 867 205 0(11846.00, 11846.00)
route 124, node_num 7, cost 1263.234000, nodes: 0(120000.00, 120000.00) 504 102 271 768 384 0(29769.00, 29769.00)
route 125, node_num 7, cost 1011.612000, nodes: 0(120000.00, 120000.00) 526 795 785 877 760 0(47742.00, 47742.00)
route 126, node_num 8, cost 1281.182000, nodes: 0(120000.00, 120000.00) 70 138 162 68 600 741 0(28487.00, 28487.00)
route 127, node_num 9, cost 940.856000, nodes: 0(120000.00, 120000.00) 310 434 248 689 178 579 371 0(52796.00, 52796.00)
route 128, node_num 7, cost 772.688000, nodes: 0(120000.00, 120000.00) 89 749 659 883 341 0(64808.00, 64808.00)
route 129, node_num 8, cost 995.288000, nodes: 0(120000.00, 120000.00) 912 983 433 797 805 642 0(48908.00, 48908.00)
route 130, node_num 9, cost 1019.928000, nodes: 0(120000.00, 120000.00) 528 406 587 451 881 410 198 0(47148.00, 47148.00)
route 131, node_num 9, cost 897.260000, nodes: 0(120000.00, 120000.00) 214 482 680 818 32 239 47 0(55910.00, 55910.00)
route 132, node_num 7, cost 651.140000, nodes: 0(120000.00, 120000.00) 641 599 96 422 584 0(73490.00, 73490.00)
route 133, node_num 9, cost 779.506000, nodes: 0(120000.00, 120000.00) 479 847 713 651 664 692 827 0(64321.00, 64321.00)
route 134, node_num 6, cost 700.826000, nodes: 0(120000.00, 120000.00) 502 916 508 395 0(69941.00, 69941.00)
route 135, node_num 9, cost 823.802000, nodes: 0(120000.00, 120000.00) 242 898 386 26 95 91 616 1083 0(61157.00, 61157.00)
route 136, node_num 7, cost 790.846000, nodes: 0(120000.00, 120000.00) 230 958 656 552 782 0(63511.00, 63511.00)
route 137, node_num 8, cost 791.140000, nodes: 0(120000.00, 120000.00) 764 283 21 256 800 246 1051 0(63490.00, 63490.00)
route 138, node_num 7, cost 913.192000, nodes: 0(120000.00, 120000.00) 757 453 335 1087 22 374 0(54772.00, 54772.00)
route 139, node_num 8, cost 681.338000, nodes: 0(120000.00, 120000.00) 630 280 160 284 707 238 0(71333.00, 71333.00)
route 140, node_num 9, cost 798.042000, nodes: 0(120000.00, 120000.00) 315 1087 356 524 668 761 678 154 0(62997.00, 62997.00)
route 141, node_num 6, cost 611.296000, nodes: 0(120000.00, 120000.00) 376 272 806 287 0(76336.00, 76336.00)
route 142, node_num 6, cost 741.916000, nodes: 0(120000.00, 120000.00) 968 411 209 878 0(67006.00, 67006.00)
route 143, node_num 9, cost 919.394000, nodes: 0(120000.00, 120000.00) 686 394 286 121 986 723 352 0(54329.00, 54329.00)
route 144, node_num 8, cost 791.770000, nodes: 0(120000.00, 120000.00) 682 742 69 733 223 474 0(63445.00, 63445.00)
route 145, node_num 7, cost 1353.800000, nodes: 0(120000.00, 120000.00) 31 596 152 348 925 0(23300.00, 23300.00)
route 146, node_num 8, cost 1498.644000, nodes: 0(120000.00, 120000.00) 549 992 814 437 78 241 0(12954.00, 12954.00)
route 147, node_num 8, cost 1404.172000, nodes: 0(120000.00, 120000.00) 285 251 685 620 573 661 0(19702.00, 19702.00)
route 148, node_num 7, cost 1313.004000, nodes: 0(120000.00, 120000.00) 674 521 694 66 323 0(26214.00, 26214.00)
route 149, node_num 8, cost 1474.242000, nodes: 0(120000.00, 120000.00) 658 127 548 537 614 237 0(14697.00, 14697.00)
route 150, node_num 8, cost 1541.148000, nodes: 0(120000.00, 120000.00) 468 612 774 439 471 871 0(9918.00, 9918.00)
route 151, node_num 9, cost 1013.082000, nodes: 0(120000.00, 120000.00) 150 673 450 175 234 553 54 0(47637.00, 47637.00)
route 152, node_num 8, cost 1216.208000, nodes: 0(120000.00, 120000.00) 581 110 637 506 943 755 0(33128.00, 33128.00)
route 153, node_num 8, cost 1052.198000, nodes: 0(120000.00, 120000.00) 409 649 16 24 756 294 0(44843.00, 44843.00)
route 154, node_num 7, cost 1146.894000, nodes: 0(120000.00, 120000.00) 890 483 602 227 974 0(38079.00, 38079.00)
route 155, node_num 8, cost 1160.516000, nodes: 0(120000.00, 120000.00) 244 714 666 887 590 519 0(37106.00, 37106.00)
route 156, node_num 7, cost 1039.262000, nodes: 0(120000.00, 120000.00) 905 798 952 228 4 0(45767.00, 45767.00)
route 157, node_num 7, cost 1250.186000, nodes: 0(120000.00, 120000.00) 306 629 296 364 807 0(30701.00, 30701.00)
route 158, node_num 8, cost 1247.176000, nodes: 0(120000.00, 120000.00) 717 446 522 38 791 1036 276 1001 0(30916.00, 30916.00)
route 159, node_num 7, cost 1189.524000, nodes: 0(120000.00, 120000.00) 1080 278 728 746 976 990 0(35034.00, 35034.00)
route 160, node_num 8, cost 1109.850000, nodes: 0(120000.00, 120000.00) 676 210 904 313 171 336 0(40725.00, 40725.00)
route 161, node_num 8, cost 1216.404000, nodes: 0(120000.00, 120000.00) 993 45 860 67 203 469 0(33114.00, 33114.00)
route 162, node_num 8, cost 1380.372000, nodes: 0(120000.00, 120000.00) 917 332 604 424 60 654 1071 0(21402.00, 21402.00)
route 163, node_num 9, cost 1697.178000, nodes: 0(120000.00, 120000.00) 812 309 421 945 902 595 1071(35322.00, 36549.00) 0(0.00, 0.00)
route 164, node_num 8, cost 1534.764000, nodes: 0(120000.00, 120000.00) 752 493 387 377 498 290 0(10374.00, 10374.00)
route 165, node_num 8, cost 1491.210000, nodes: 0(120000.00, 120000.00) 613 605 672 455 869 452 0(13485.00, 13485.00)
route 166, node_num 10, cost 1913.912000, nodes: 0(120000.00, 120000.00) 1039(67416.00, 67416.00) 695 783 6 107 1090(39677.00, 39677.00) 308 1071(19841.00, 36549.00) 0(0.00, 0.00)
route 167, node_num 8, cost 1789.760000, nodes: 0(120000.00, 120000.00) 1039(67416.00, 75256.00) 754 647 623 495 413 0(0.00, 0.00)
route 168, node_num 8, cost 1725.024000, nodes: 0(120000.00, 120000.00) 710 1042(56173.00, 59389.00) 863 793 644 635 0(0.00, 0.00)
route 169, node_num 9, cost 1831.886000, nodes: 0(120000.00, 120000.00) 378 985 922 53 141 125 1025(13278.00, 24127.00) 0(0.00, 0.00)
route 170, node_num 8, cost 1843.254000, nodes: 0(120000.00, 120000.00) 346 240 815 617 996 1096(14837.00, 26498.00) 1025 0(0.00, 0.00)
route 171, node_num 8, cost 1920.590000, nodes: 0(120000.00, 120000.00) 597 687 213 85 1039(36197.00, 53382.00) 517 0(0.00, 0.00)
route 172, node_num 7, cost 1507.940000, nodes: 0(120000.00, 120000.00) 829 583 729 302 281 0(12290.00, 12290.00)
route 173, node_num 8, cost 1712.830000, nodes: 0(120000.00, 120000.00) 351 1 618 716 172 1018(20079.00, 22424.00) 0(0.00, 0.00)
route 174, node_num 8, cost 1623.496000, nodes: 0(120000.00, 120000.00) 10 852 697 499 319 543 0(4036.00, 4036.00)
route 175, node_num 8, cost 1543.290000, nodes: 0(120000.00, 120000.00) 696 946 194 463 467 393 1001 0(9765.00, 9765.00)
route 176, node_num 9, cost 1647.170000, nodes: 0(120000.00, 120000.00) 166 245 61 151 202 123 1025(26472.00, 26472.00) 0(2345.00, 2345.00)
route 177, node_num 11, cost 1668.926000, nodes: 0(120000.00, 120000.00) 432 339 759 1011(53462.00, 53462.00) 28 1011(53138.00, 53138.00) 739 398 1047 1071(37340.00, 37340.00) 0(791.00, 791.00)
route 178, node_num 7, cost 1352.428000, nodes: 0(120000.00, 120000.00) 441 582 58 773 572 0(23398.00, 23398.00)
route 179, node_num 8, cost 1398.642000, nodes: 0(120000.00, 120000.00) 592 429 224 440 601 105 0(20097.00, 20097.00)
route 180, node_num 8, cost 1432.550000, nodes: 0(120000.00, 120000.00) 185 104 478 100 64 381 0(17675.00, 17675.00)
vehicle (route) number: 181
Total cost: 250802.03
255129.54, 32454.60
255586.34, 32434.99
253226.93, 32409.69
253034.15, 32413.71
252761.91, 32401.31
252278.47, 32426.05
252955.56, 32406.35
250802.03, 32410.09
251918.61, 29823.40
252706.64, 25343.85
