Details of the solution:
route 0, node_num 7, cost 974.806000, nodes: 0(120000.00, 120000.00) 1004 282 164 1088 335 1071 1088 1016 192 1060 531 1060 1013 0(50371.00, 50371.00)
route 52, node_num 8, cost 1348.956000, nodes: 0(120000.00, 120000.00) 1030 1043 964 514 264 1078 846 106 265 1033 0(23646.00, 23646.00)
route 53, node_num 8, cost 1034.460000, nodes: 0(120000.00, 120000.00) 1033 1069 785 251 554 495 968 411 1069 0(46110.00, 46110.00)
route 54, node_num 8, cost 1240.694000, nodes: 0(120000.00, 120000.00) 1033 1021 137 226 539 349 259 1096 722 1024 1055 1033 0(31379.00, 31379.00)
route 55, node_num 8, cost 1109.500000, nodes: 0(120000.00, 120000.00) 1025 1088 415 626 447 10 397 1085 949 1098 1045 1011 1013 0(40750.00, 40750.00)
route 56, node_num 7, cost 614.236000, nodes: 0(120000.00, 120000.00) 1030 403 568 82 147 1043 384 1043 0(76126.00, 76126.00)
route 57, node_num 8, cost 1614.130000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 520 775 238 519 526 592 1057 1074 1059 1020 1073 1013 0(4705.00, 4705.00)
route 58, node_num 9, cost 933.268000, nodes: 0(120000.00, 120000.00) 1033 168 559 615 20 510 187 37 1055 1033 0(53338.00, 53338.00)
route 59, node_num 8, cost 480.550000, nodes: 0(120000.00, 120000.00) 1033 342 206 314 295 1033 221 757 1091 0(85675.00, 85675.00)
route 60, node_num 10, cost 1704.122000, nodes: 0(120000.00, 120000.00) 1029(89163.00, 89163.00) 1031 202 452 1044 32 1070 1018 395 197 955 1018 1019(23027.00, 24750.00) 0(0.00, 0.00)
route 61, node_num 8, cost 1471.736000, nodes: 0(120000.00, 120000.00) 294 224 698 470 293 358 0(14876.00, 14876.00)
route 62, node_num 9, cost 1166.018000, nodes: 0(120000.00, 120000.00) 1025 108 861 659 388 74 184 975 1090 1080 1045 1011 1013 0(36713.00, 36713.00)
route 63, node_num 8, cost 1395.464000, nodes: 0(120000.00, 120000.00) 1048 561 1022 289 606 758 352 1032 712 1032 1099 1079 0(20324.00, 20324.00)
route 64, node_num 8, cost 1305.010000, nodes: 0(120000.00, 120000.00) 1030 1001 907 1100 811 69 337 904 870 1074 1059 1020 1073 1013 0(26785.00, 26785.00)
route 65, node_num 10, cost 1725.248000, nodes: 0(120000.00, 120000.00) 963 1092(69754.00, 69754.00) 553 917 43 1037(48120.00, 48120.00) 988 1090 1043(13285.00, 16517.00) 0(0.00, 0.00)
route 66, node_num 8, cost 1371.468000, nodes: 0(120000.00, 120000.00) 1025 1088 577 155 714 377 114 576 1016 1025 1099 1079 0(22038.00, 22038.00)
route 67, node_num 7, cost 284.620000, nodes: 0(120000.00, 120000.00) 311 738 684 398 462 0(99670.00, 99670.00)
route 68, node_num 7, cost 565.670000, nodes: 0(120000.00, 120000.00) 306 521 1079 142 201 636 0(79595.00, 79595.00)
route 69, node_num 8, cost 1267.448000, nodes: 0(120000.00, 120000.00) 1030 1001 468 756 772 620 991 693 1060 1013 0(29468.00, 29468.00)
route 70, node_num 8, cost 1524.306000, nodes: 0(120000.00, 120000.00) 1030 225 1029 494 945 612 872 48 1049 1029 1013 0(11121.00, 11121.00)
route 71, node_num 8, cost 1294.510000, nodes: 0(120000.00, 120000.00) 1025 319 334 232 183 571 267 1016 1025 1099 1079 0(27535.00, 27535.00)
route 72, node_num 7, cost 1152.494000, nodes: 0(120000.00, 120000.00) 1025 11 932 859 848 421 1016 1025 1099 1079 0(37679.00, 37679.00)
route 73, node_num 8, cost 1642.704000, nodes: 0(120000.00, 120000.00) 1073 1020 1082 1031 91 425 958 873 182 671 1065 1031 1082 1020 1073 1013 0(2664.00, 2664.00)
route 74, node_num 8, cost 662.466000, nodes: 0(120000.00, 120000.00) 1004 850 1091 1008 817 657 943 515 115 1008 1091 0(72681.00, 72681.00)
route 75, node_num 8, cost 1125.586000, nodes: 0(120000.00, 120000.00) 1025 103 396 68 152 843 40 0(39601.00, 39601.00)
route 76, node_num 8, cost 1641.360000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 499 1063 591 936 776 1010 725 840 1014 1082 1020 1073 1013 0(2760.00, 2760.00)
route 77, node_num 8, cost 1373.960000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 866 673 84 743 594 931 1064 1099 1079 0(21860.00, 21860.00)
route 78, node_num 7, cost 837.830000, nodes: 0(120000.00, 120000.00) 1033 658 518 721 1094 871 641 1069 0(60155.00, 60155.00)
route 79, node_num 9, cost 759.808000, nodes: 0(120000.00, 120000.00) 1033 570 326 1021 634 53 227 173 130 1055 1033 0(65728.00, 65728.00)
route 80, node_num 9, cost 1069.096000, nodes: 0(120000.00, 120000.00) 884 102 1001 126 4 503 299 679 1020 1073 1013 0(43636.00, 43636.00)
route 81, node_num 8, cost 1360.366000, nodes: 0(120000.00, 120000.00) 549 1056 951 437 245 1068 810 492 1079 0(22831.00, 22831.00)
route 82, node_num 8, cost 1153.516000, nodes: 0(120000.00, 120000.00) 1033 1021 487 1096 516 392 49 400 86 1019 0(37606.00, 37606.00)
route 83, node_num 8, cost 994.742000, nodes: 0(120000.00, 120000.00) 1030 17 22 731 1029 787 387 830 1091 0(48947.00, 48947.00)
route 84, node_num 8, cost 1662.976000, nodes: 0(120000.00, 120000.00) 1030 1043 1009 85 1077 439 276 856 517 835 1077 1031 1082 1020 1073 1013 0(1216.00, 1216.00)
route 85, node_num 8, cost 1319.094000, nodes: 0(120000.00, 120000.00) 1030 1043 855 401 89 485 207 217 1043 0(25779.00, 25779.00)
route 86, node_num 8, cost 1255.492000, nodes: 0(120000.00, 120000.00) 1025 353 1093 1095 819 105 62 75 94 1074 1059 1020 1073 1013 0(30322.00, 30322.00)
route 87, node_num 6, cost 309.960000, nodes: 0(120000.00, 120000.00) 1028 540 212 357 458 0(97860.00, 97860.00)
route 88, node_num 8, cost 1096.760000, nodes: 0(120000.00, 120000.00) 1030 629 211 882 821 522 972 1033 0(41660.00, 41660.00)
route 89, node_num 7, cost 1184.260000, nodes: 0(120000.00, 120000.00) 1030 1043 854 887 243 793 165 1029 1013 0(35410.00, 35410.00)
route 90, node_num 9, cost 1694.868000, nodes: 0(120000.00, 120000.00) 1029(89163.00, 89163.00) 1066 233 1070 99 1018 940 476 214 1043(15455.00, 16517.00) 0(0.00, 0.00)
route 91, node_num 8, cost 1486.702000, nodes: 0(120000.00, 120000.00) 1030 1008 1019 303 1 76 383 852 717 1007 1089 1019 0(13807.00, 13807.00)
route 92, node_num 9, cost 1802.822000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1003 368 765 460 215 45 753 1063 1089(20730.00, 29503.00) 1019 0(0.00, 0.00)
route 93, node_num 8, cost 1380.386000, nodes: 0(120000.00, 120000.00) 1030 1008 1019 702 449 54 435 308 1014 1082 575 1073 1013 0(21401.00, 21401.00)
route 94, node_num 8, cost 1227.436000, nodes: 0(120000.00, 120000.00) 1030 812 1008 1019 302 924 496 28 283 1019 0(32326.00, 32326.00)
route 95, node_num 7, cost 1648.920000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 837 875 1042 961 427 1042 118 1050 1074 1059 1020 1073 1013 0(2220.00, 2220.00)
route 96, node_num 9, cost 409.920000, nodes: 0(120000.00, 120000.00) 1033 338 674 639 133 713 310 445 0(90720.00, 90720.00)
route 97, node_num 8, cost 1601.544000, nodes: 0(120000.00, 120000.00) 1030 1008 1019 1075 1015 1076 614 229 792 350 325 104 1049 1029 1013 0(5604.00, 5604.00)
route 98, node_num 8, cost 920.696000, nodes: 0(120000.00, 120000.00) 1033 1069 990 1024 663 593 438 95 1024 119 1055 1033 0(54236.00, 54236.00)
route 99, node_num 8, cost 959.588000, nodes: 0(120000.00, 120000.00) 1033 1069 1055 797 796 981 529 807 63 1055 1033 0(51458.00, 51458.00)
route 100, node_num 8, cost 1404.900000, nodes: 0(120000.00, 120000.00) 1073 1020 389 941 1062 348 1066 285 918 555 1074 1059 1020 1073 1013 0(19650.00, 19650.00)
route 101, node_num 8, cost 1369.424000, nodes: 0(120000.00, 120000.00) 1025 533 1035 157 828 274 200 250 1093 1072 0(22184.00, 22184.00)
route 102, node_num 8, cost 892.262000, nodes: 0(120000.00, 120000.00) 1030 766 893 313 501 6 1020 391 1043 0(56267.00, 56267.00)
route 103, node_num 9, cost 1830.038000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1003 1084(73506.00, 73506.00) 967 83 996 209 356 1084 1051(20571.00, 31288.00) 1013 0(0.00, 0.00)
route 104, node_num 8, cost 1191.890000, nodes: 0(120000.00, 120000.00) 1033 1069 832 894 844 974 370 847 1019 0(34865.00, 34865.00)
route 105, node_num 8, cost 1605.730000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1003 623 79 818 474 281 1044 682 1003 1031 1082 1020 1073 1013 0(5305.00, 5305.00)
route 106, node_num 7, cost 1008.784000, nodes: 0(120000.00, 120000.00) 911 1036 820 605 681 1048 486 0(47944.00, 47944.00)
route 107, node_num 8, cost 673.750000, nodes: 0(120000.00, 120000.00) 1028 881 838 711 156 270 1000 1027 0(71875.00, 71875.00)
route 108, node_num 8, cost 1563.520000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 185 760 780 703 316 947 1031 1082 1020 1073 1013 0(8320.00, 8320.00)
route 109, node_num 8, cost 1221.892000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 527 129 273 868 865 52 1009 1020 1073 1013 0(32722.00, 32722.00)
route 110, node_num 11, cost 1689.926000, nodes: 0(120000.00, 120000.00) 1029(89163.00, 89163.00) 1031 1018 429 692 223 590 1018(51677.00, 51677.00) 426 80 1062 1051 1008 1091(6332.00, 7041.00) 0(0.00, 0.00)
route 111, node_num 9, cost 917.056000, nodes: 0(120000.00, 120000.00) 1027 579 885 538 648 1021 1069 72 1027 512 724 1038 0(54496.00, 54496.00)
route 112, node_num 7, cost 1484.434000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 643 160 992 822 483 1003 1031 1082 1020 1073 1013 0(13969.00, 13969.00)
route 113, node_num 8, cost 972.202000, nodes: 0(120000.00, 120000.00) 1030 763 213 416 730 253 645 1008 1091 0(50557.00, 50557.00)
route 114, node_num 8, cost 778.974000, nodes: 0(120000.00, 120000.00) 301 136 25 816 841 117 1091 0(64359.00, 64359.00)
route 115, node_num 8, cost 1317.330000, nodes: 0(120000.00, 120000.00) 1025 537 610 845 665 915 333 1033 0(25905.00, 25905.00)
route 116, node_num 8, cost 1102.206000, nodes: 0(120000.00, 120000.00) 1073 1020 81 127 87 116 47 778 1098 1045 1011 1013 0(41271.00, 41271.00)
route 117, node_num 9, cost 1894.816000, nodes: 0(120000.00, 120000.00) 1029(89163.00, 89163.00) 1066 1044 378 162 26 291 769 1041 1046 1084 1051 1008(358.00, 15702.00) 1091 0(0.00, 0.00)
route 118, node_num 8, cost 1422.638000, nodes: 0(120000.00, 120000.00) 1030 1043 1087 556 16 132 15 373 252 1029 1013 0(18383.00, 18383.00)
route 119, node_num 8, cost 836.976000, nodes: 0(120000.00, 120000.00) 1030 989 697 823 443 728 39 1019 0(60216.00, 60216.00)
route 120, node_num 8, cost 1187.704000, nodes: 0(120000.00, 120000.00) 1030 1043 1090 883 332 490 851 1090 161 1026 1095 1011 878 1072 0(35164.00, 35164.00)
route 121, node_num 9, cost 751.912000, nodes: 0(120000.00, 120000.00) 1030 910 351 982 586 434 864 42 1091 0(66292.00, 66292.00)
route 122, node_num 8, cost 1624.336000, nodes: 0(120000.00, 120000.00) 1073 1020 1082 1031 680 790 900 1061 134 198 13 1082 1020 1073 1013 0(3976.00, 3976.00)
route 123, node_num 8, cost 907.928000, nodes: 0(120000.00, 120000.00) 1073 834 565 934 688 379 551 1045 1011 1013 0(55148.00, 55148.00)
route 124, node_num 8, cost 1372.084000, nodes: 0(120000.00, 120000.00) 1032 716 51 1039 890 412 478 1022 454 1056 1079 0(21994.00, 21994.00)
route 125, node_num 9, cost 1005.018000, nodes: 0(120000.00, 120000.00) 1073 541 237 1026 190 345 1026 896 1026 320 534 1045 1011 1013 0(48213.00, 48213.00)
route 126, node_num 8, cost 995.862000, nodes: 0(120000.00, 120000.00) 997 1058 404 1093 773 668 1071 782 802 1016 1025 1099 1079 0(48867.00, 48867.00)
route 127, node_num 8, cost 1292.172000, nodes: 0(120000.00, 120000.00) 1073 1020 685 1085 1059 536 386 172 331 986 1051 1013 0(27702.00, 27702.00)
route 128, node_num 10, cost 1799.084000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1057 1046(67173.00, 67173.00) 149 431 355 619 525 927 1047 1046 1084 1051 1008(7196.00, 15702.00) 1091 0(0.00, 0.00)
route 129, node_num 8, cost 1336.664000, nodes: 0(120000.00, 120000.00) 1030 1043 1009 179 898 442 1002 222 814 258 1033 0(24524.00, 24524.00)
route 130, node_num 8, cost 1352.652000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 456 655 950 170 635 729 1074 1059 1020 1073 1013 0(23382.00, 23382.00)
route 131, node_num 7, cost 1597.456000, nodes: 0(120000.00, 120000.00) 1073 1026 960 979 177 905 704 1090 1080 1045 1011 1013 0(5896.00, 5896.00)
route 132, node_num 8, cost 930.272000, nodes: 0(120000.00, 120000.00) 423 604 1060 912 580 754 482 0(53552.00, 53552.00)
route 133, node_num 8, cost 965.594000, nodes: 0(120000.00, 120000.00) 1030 560 937 578 1098 630 3 9 1073 1013 0(51029.00, 51029.00)
route 134, node_num 9, cost 998.858000, nodes: 0(120000.00, 120000.00) 1028 249 1013 131 205 625 255 1095 925 649 1011 1013 0(48653.00, 48653.00)
route 135, node_num 8, cost 1355.396000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 24 764 193 362 101 248 1057 1074 1059 1020 1073 1013 0(23186.00, 23186.00)
route 136, node_num 8, cost 167.790000, nodes: 0(120000.00, 120000.00) 994 484 111 983 1004 948 908 0(108015.00, 108015.00)
route 137, node_num 8, cost 1148.658000, nodes: 0(120000.00, 120000.00) 191 676 953 34 779 1029 748 1043 0(37953.00, 37953.00)
route 138, node_num 8, cost 1442.252000, nodes: 0(120000.00, 120000.00) 1025 1060 683 564 1022 880 815 220 1032 376 0(16982.00, 16982.00)
route 139, node_num 8, cost 911.890000, nodes: 0(120000.00, 120000.00) 959 321 256 669 1019 891 500 0(54865.00, 54865.00)
route 140, node_num 8, cost 1480.990000, nodes: 0(120000.00, 120000.00) 1073 1020 1082 705 687 96 151 774 690 1043 0(14215.00, 14215.00)
route 141, node_num 7, cost 621.978000, nodes: 0(120000.00, 120000.00) 1028 1097 1038 808 23 1038 656 1038 611 70 1038 0(75573.00, 75573.00)
route 142, node_num 8, cost 1437.996000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 318 550 260 511 279 1100 1009 633 1009 1020 1073 1013 0(17286.00, 17286.00)
route 143, node_num 9, cost 947.142000, nodes: 0(120000.00, 120000.00) 1030 1043 317 696 504 732 813 71 892 1045 1011 1013 0(52347.00, 52347.00)
route 144, node_num 8, cost 1611.078000, nodes: 0(120000.00, 120000.00) 1073 1020 1082 1031 849 143 607 528 408 1066 432 1009 1020 1073 1013 0(4923.00, 4923.00)
route 145, node_num 8, cost 1133.510000, nodes: 0(120000.00, 120000.00) 1030 257 471 58 952 573 146 1033 0(39035.00, 39035.00)
route 146, node_num 9, cost 949.816000, nodes: 0(120000.00, 120000.00) 153 563 446 287 489 1056 786 523 1099 1079 0(52156.00, 52156.00)
route 147, node_num 9, cost 1974.210000, nodes: 0(120000.00, 120000.00) 1029(89163.00, 89163.00) 1031 1018 1070 128 770 954 562 869 1084(25240.00, 46255.00) 1020 1073 1013 0(0.00, 0.00)
route 148, node_num 8, cost 1332.800000, nodes: 0(120000.00, 120000.00) 969 167 879 806 507 597 0(24800.00, 24800.00)
route 149, node_num 8, cost 1264.004000, nodes: 0(120000.00, 120000.00) 1073 1020 749 112 231 901 1031 97 239 1100 1009 1020 1073 1013 0(29714.00, 29714.00)
route 150, node_num 8, cost 928.032000, nodes: 0(120000.00, 120000.00) 1073 1020 825 344 707 1098 417 942 346 1091 0(53712.00, 53712.00)
route 151, node_num 8, cost 1449.812000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1057 148 599 100 365 402 1034 1006 897 1045 1011 1013 0(16442.00, 16442.00)
route 152, node_num 8, cost 1240.988000, nodes: 0(120000.00, 120000.00) 1012 1079 254 1099 1048 557 1032 971 436 600 1023 903 1023 1064 1099 1079 0(31358.00, 31358.00)
route 153, node_num 8, cost 910.770000, nodes: 0(120000.00, 120000.00) 228 706 139 2 210 616 1043 0(54945.00, 54945.00)
route 154, node_num 6, cost 446.110000, nodes: 0(120000.00, 120000.00) 1033 654 140 174 1097 467 0(88135.00, 88135.00)
route 155, node_num 6, cost 284.816000, nodes: 0(120000.00, 120000.00) 651 57 902 628 0(99656.00, 99656.00)
route 156, node_num 8, cost 751.562000, nodes: 0(120000.00, 120000.00) 1012 21 862 93 1079 805 933 275 1011 1013 0(66317.00, 66317.00)
route 157, node_num 8, cost 1172.696000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 113 1074 30 795 895 739 1090 288 1071 1088 1011 1013 0(36236.00, 36236.00)
route 158, node_num 8, cost 1506.218000, nodes: 0(120000.00, 120000.00) 1025 1053 1035 709 742 842 194 799 1092 158 1064 1099 1079 0(12413.00, 12413.00)
route 159, node_num 8, cost 1056.944000, nodes: 0(120000.00, 120000.00) 506 409 366 740 661 144 1071 1088 1011 1013 0(44504.00, 44504.00)
route 160, node_num 8, cost 240.086000, nodes: 0(120000.00, 120000.00) 277 315 906 689 455 347 0(102851.00, 102851.00)
route 161, node_num 7, cost 469.014000, nodes: 0(120000.00, 120000.00) 675 670 767 290 800 1013 0(86499.00, 86499.00)
route 162, node_num 8, cost 433.944000, nodes: 0(120000.00, 120000.00) 1012 450 109 135 858 123 336 1091 0(89004.00, 89004.00)
route 163, node_num 8, cost 638.204000, nodes: 0(120000.00, 120000.00) 1028 762 1038 61 587 1097 381 1097 751 1097 737 1086 0(74414.00, 74414.00)
route 164, node_num 8, cost 1245.846000, nodes: 0(120000.00, 120000.00) 1025 1088 371 678 393 242 524 965 1080 1045 1011 1013 0(31011.00, 31011.00)
route 165, node_num 8, cost 623.182000, nodes: 0(120000.00, 120000.00) 1033 280 987 747 324 354 297 1027 0(75487.00, 75487.00)
route 166, node_num 8, cost 588.854000, nodes: 0(120000.00, 120000.00) 839 247 341 1043 46 488 667 1033 0(77939.00, 77939.00)
route 167, node_num 8, cost 593.922000, nodes: 0(120000.00, 120000.00) 464 475 175 266 65 7 0(77577.00, 77577.00)
route 168, node_num 7, cost 1043.448000, nodes: 0(120000.00, 120000.00) 1025 1060 804 1016 367 998 50 1088 985 1093 1072 0(45468.00, 45468.00)
vehicle (route) number: 169
Total cost: 242662.53
242662.53, 33333.80
244506.82, 32910.61
246077.50, 33277.67
243503.93, 32689.82
243402.95, 24188.65
244763.03, 19103.10
244372.75, 32762.44
243960.20, 20613.19
243210.86, 32874.83
246589.44, 13638.39
