Details of the solution:
route 0, node_num 7, cost 1436.568000, nodes: 0(120000.00, 120000.00) 812 693 266 277 745 732 0(17388.00, 17388.00)
route 24, node_num 7, cost 1232.532000, nodes: 0(120000.00, 120000.00) 516 638 15 55 218 0(31962.00, 31962.00)
route 25, node_num 9, cost 1907.388000, nodes: 0(120000.00, 120000.00) 839(67416.00, 67416.00) 695 783 6 107 623 825(7885.00, 24127.00) 0(0.00, 0.00)
route 26, node_num 8, cost 1602.174000, nodes: 0(120000.00, 120000.00) 432 672 339 85 495 413 0(5559.00, 5559.00)
route 27, node_num 8, cost 1549.142000, nodes: 0(120000.00, 120000.00) 185 104 151 463 202 123 0(9347.00, 9347.00)
route 28, node_num 8, cost 1334.438000, nodes: 0(120000.00, 120000.00) 592 429 224 100 64 569 885 0(24683.00, 24683.00)
route 29, node_num 8, cost 1525.062000, nodes: 0(120000.00, 120000.00) 166 58 478 172 467 393 801 0(11067.00, 11067.00)
route 30, node_num 6, cost 1520.358000, nodes: 0(120000.00, 120000.00) 674 521 876 696 730 0(11403.00, 11403.00)
route 31, node_num 8, cost 1852.606000, nodes: 0(120000.00, 120000.00) 839(67416.00, 79745.00) 754 647 53 141 890 308 0(0.00, 0.00)
route 32, node_num 8, cost 1804.614000, nodes: 0(120000.00, 120000.00) 860(66386.00, 98386.00) 597 213 125 617 517 0(23099.00, 23099.00)
route 33, node_num 8, cost 1448.328000, nodes: 0(120000.00, 120000.00) 441 582 440 601 67 203 871 0(16548.00, 16548.00)
route 34, node_num 7, cost 1309.700000, nodes: 0(120000.00, 120000.00) 497 466 786 534 367 0(26450.00, 26450.00)
route 35, node_num 11, cost 1826.384000, nodes: 0(120000.00, 120000.00) 710 687 890(48111.00, 48111.00) 61 28 811(41891.00, 41891.00) 739 398 847 871(26093.00, 36549.00) 0(0.00, 0.00)
route 36, node_num 8, cost 1104.516000, nodes: 0(120000.00, 120000.00) 722 408 174 402 13 381 0(41106.00, 41106.00)
route 37, node_num 8, cost 1471.736000, nodes: 0(120000.00, 120000.00) 658 127 548 537 498 237 0(14876.00, 14876.00)
route 38, node_num 8, cost 1214.164000, nodes: 0(120000.00, 120000.00) 306 728 522 313 520 767 0(33274.00, 33274.00)
route 39, node_num 7, cost 1357.552000, nodes: 0(120000.00, 120000.00) 549 596 152 506 323 0(23032.00, 23032.00)
route 40, node_num 8, cost 1083.558000, nodes: 0(120000.00, 120000.00) 150 798 673 16 290 755 0(42603.00, 42603.00)
route 41, node_num 8, cost 1312.444000, nodes: 0(120000.00, 120000.00) 244 110 685 637 573 661 0(26254.00, 26254.00)
route 42, node_num 8, cost 1602.174000, nodes: 0(120000.00, 120000.00) 309 612 774 439 471 78 0(5559.00, 5559.00)
route 43, node_num 8, cost 1196.174000, nodes: 0(120000.00, 120000.00) 468 45 666 24 756 294 0(34559.00, 34559.00)
route 44, node_num 8, cost 1577.856000, nodes: 0(120000.00, 120000.00) 717 446 31 66 424 105 0(7296.00, 7296.00)
route 45, node_num 7, cost 1029.126000, nodes: 0(120000.00, 120000.00) 231 746 38 545 268 0(46491.00, 46491.00)
route 46, node_num 8, cost 1143.464000, nodes: 0(120000.00, 120000.00) 233 278 328 171 228 469 0(38324.00, 38324.00)
route 47, node_num 8, cost 1362.536000, nodes: 0(120000.00, 120000.00) 285 251 694 604 847 60 654 871 0(22676.00, 22676.00)
route 48, node_num 8, cost 1606.990000, nodes: 0(120000.00, 120000.00) 752 493 421 387 377 614 801 0(5215.00, 5215.00)
route 49, node_num 8, cost 1144.766000, nodes: 0(120000.00, 120000.00) 412 629 296 364 791 836 276 801 0(38231.00, 38231.00)
route 50, node_num 8, cost 1537.718000, nodes: 0(120000.00, 120000.00) 10 602 227 437 348 241 0(10163.00, 10163.00)
route 51, node_num 7, cost 1201.186000, nodes: 0(120000.00, 120000.00) 512 714 581 332 620 0(34201.00, 34201.00)
route 52, node_num 8, cost 1063.748000, nodes: 0(120000.00, 120000.00) 409 649 450 483 590 519 0(44018.00, 44018.00)
route 53, node_num 9, cost 963.802000, nodes: 0(120000.00, 120000.00) 563 41 531 175 234 553 54 0(51157.00, 51157.00)
route 54, node_num 8, cost 983.052000, nodes: 0(120000.00, 120000.00) 757 453 587 761 678 154 0(49782.00, 49782.00)
route 55, node_num 7, cost 756.868000, nodes: 0(120000.00, 120000.00) 764 668 21 256 37 0(65938.00, 65938.00)
route 56, node_num 6, cost 725.760000, nodes: 0(120000.00, 120000.00) 502 846 287 508 395 0(68160.00, 68160.00)
route 57, node_num 8, cost 860.132000, nodes: 0(120000.00, 120000.00) 528 524 335 887 22 707 238 0(58562.00, 58562.00)
route 58, node_num 9, cost 883.400000, nodes: 0(120000.00, 120000.00) 315 887 356 284 26 95 91 616 883 0(56900.00, 56900.00)
route 59, node_num 8, cost 406.098000, nodes: 0(120000.00, 120000.00) 222 279 558 485 634 500 0(90993.00, 90993.00)
route 60, node_num 7, cost 399.308000, nodes: 0(120000.00, 120000.00) 431 663 525 124 226 0(91478.00, 91478.00)
route 61, node_num 6, cost 508.830000, nodes: 0(120000.00, 120000.00) 479 280 411 584 0(83655.00, 83655.00)
route 62, node_num 6, cost 275.996000, nodes: 0(120000.00, 120000.00) 555 265 372 333 0(100286.00, 100286.00)
route 63, node_num 8, cost 884.646000, nodes: 0(120000.00, 120000.00) 686 394 286 121 800 246 851 0(56811.00, 56811.00)
route 64, node_num 7, cost 834.050000, nodes: 0(120000.00, 120000.00) 599 160 96 422 374 0(60425.00, 60425.00)
route 65, node_num 8, cost 578.606000, nodes: 0(120000.00, 120000.00) 376 214 482 32 239 111 0(78671.00, 78671.00)
route 66, node_num 5, cost 414.778000, nodes: 0(120000.00, 120000.00) 776 86 641 0(90373.00, 90373.00)
route 67, node_num 7, cost 540.624000, nodes: 0(120000.00, 120000.00) 391 34 771 550 784 0(81384.00, 81384.00)
route 68, node_num 7, cost 739.298000, nodes: 0(120000.00, 120000.00) 89 283 209 136 417 0(67193.00, 67193.00)
route 69, node_num 9, cost 822.472000, nodes: 0(120000.00, 120000.00) 230 680 713 651 664 692 47 0(61252.00, 61252.00)
route 70, node_num 8, cost 518.490000, nodes: 0(120000.00, 120000.00) 484 633 698 652 820 470 589 0(82965.00, 82965.00)
route 71, node_num 8, cost 662.774000, nodes: 0(120000.00, 120000.00) 630 272 386 656 552 782 0(72659.00, 72659.00)
route 72, node_num 7, cost 342.244000, nodes: 0(120000.00, 120000.00) 554 263 179 344 396 0(95554.00, 95554.00)
route 73, node_num 6, cost 745.444000, nodes: 0(120000.00, 120000.00) 250 735 727 490 0(66754.00, 66754.00)
route 74, node_num 8, cost 980.378000, nodes: 0(120000.00, 120000.00) 212 465 345 444 12 420 0(49973.00, 49973.00)
route 75, node_num 7, cost 1103.242000, nodes: 0(120000.00, 120000.00) 289 657 103 624 7 0(41197.00, 41197.00)
route 76, node_num 6, cost 757.148000, nodes: 0(120000.00, 120000.00) 734 551 892 122 39 0(65918.00, 65918.00)
route 77, node_num 7, cost 1036.336000, nodes: 0(120000.00, 120000.00) 255 176 795 785 36 0(45976.00, 45976.00)
route 78, node_num 7, cost 919.562000, nodes: 0(120000.00, 120000.00) 526 796 337 578 510 0(54317.00, 54317.00)
route 79, node_num 8, cost 826.322000, nodes: 0(120000.00, 120000.00) 311 146 182 115 119 448 0(60977.00, 60977.00)
route 80, node_num 9, cost 927.318000, nodes: 0(120000.00, 120000.00) 669 401 541 101 561 232 181 0(53763.00, 53763.00)
route 81, node_num 7, cost 820.008000, nodes: 0(120000.00, 120000.00) 556 492 350 342 216 0(61428.00, 61428.00)
route 82, node_num 8, cost 972.832000, nodes: 0(120000.00, 120000.00) 400 416 148 547 68 343 0(50512.00, 50512.00)
route 83, node_num 8, cost 916.874000, nodes: 0(120000.00, 120000.00) 57 588 574 221 681 215 0(54509.00, 54509.00)
route 84, node_num 8, cost 950.460000, nodes: 0(120000.00, 120000.00) 322 622 665 603 491 428 0(52110.00, 52110.00)
route 85, node_num 8, cost 968.464000, nodes: 0(120000.00, 120000.00) 199 513 438 701 703 80 0(50824.00, 50824.00)
route 86, node_num 8, cost 1086.134000, nodes: 0(120000.00, 120000.00) 77 407 206 299 20 494 0(42419.00, 42419.00)
route 87, node_num 7, cost 992.726000, nodes: 0(120000.00, 120000.00) 615 298 163 301 155 0(49091.00, 49091.00)
route 88, node_num 8, cost 1082.998000, nodes: 0(120000.00, 120000.00) 70 162 347 708 600 462 0(42643.00, 42643.00)
route 89, node_num 8, cost 835.422000, nodes: 0(120000.00, 120000.00) 201 751 765 130 760 338 0(60327.00, 60327.00)
route 90, node_num 7, cost 752.584000, nodes: 0(120000.00, 120000.00) 390 608 840 449 74 106 0(66244.00, 66244.00)
route 91, node_num 7, cost 973.588000, nodes: 0(120000.00, 120000.00) 187 191 330 196 318 0(50458.00, 50458.00)
route 92, node_num 6, cost 716.898000, nodes: 0(120000.00, 120000.00) 719 314 94 11 0(68793.00, 68793.00)
route 93, node_num 8, cost 1141.406000, nodes: 0(120000.00, 120000.00) 676 210 17 790 458 118 0(38471.00, 38471.00)
route 94, node_num 7, cost 894.894000, nodes: 0(120000.00, 120000.00) 157 725 503 180 511 814 0(56079.00, 56079.00)
route 95, node_num 9, cost 822.682000, nodes: 0(120000.00, 120000.00) 357 496 197 792 425 164 50 0(61237.00, 61237.00)
route 96, node_num 8, cost 531.104000, nodes: 0(120000.00, 120000.00) 229 204 362 418 726 544 0(82064.00, 82064.00)
route 97, node_num 7, cost 844.298000, nodes: 0(120000.00, 120000.00) 158 532 262 454 403 0(59693.00, 59693.00)
route 98, node_num 8, cost 664.146000, nodes: 0(120000.00, 120000.00) 481 838 486 131 93 220 336 0(72561.00, 72561.00)
route 99, node_num 8, cost 739.158000, nodes: 0(120000.00, 120000.00) 736 71 258 426 789 636 0(67203.00, 67203.00)
route 100, node_num 8, cost 908.656000, nodes: 0(120000.00, 120000.00) 677 81 33 139 645 369 0(55096.00, 55096.00)
route 101, node_num 7, cost 911.330000, nodes: 0(120000.00, 120000.00) 366 593 25 170 293 0(54905.00, 54905.00)
route 102, node_num 8, cost 899.724000, nodes: 0(120000.00, 120000.00) 627 120 683 62 699 818 720 0(55734.00, 55734.00)
route 103, node_num 8, cost 733.026000, nodes: 0(120000.00, 120000.00) 167 799 427 488 607 801 788 0(67641.00, 67641.00)
route 104, node_num 8, cost 527.772000, nodes: 0(120000.00, 120000.00) 76 566 568 282 331 753 0(82302.00, 82302.00)
route 105, node_num 8, cost 849.506000, nodes: 0(120000.00, 120000.00) 75 305 711 327 133 188 0(59321.00, 59321.00)
route 106, node_num 7, cost 930.076000, nodes: 0(120000.00, 120000.00) 743 546 35 254 4 0(53566.00, 53566.00)
route 107, node_num 7, cost 743.862000, nodes: 0(120000.00, 120000.00) 235 540 501 459 778 0(66867.00, 66867.00)
route 108, node_num 7, cost 951.930000, nodes: 0(120000.00, 120000.00) 388 794 87 750 329 0(52005.00, 52005.00)
route 109, node_num 6, cost 695.114000, nodes: 0(120000.00, 120000.00) 389 570 40 559 0(70349.00, 70349.00)
route 110, node_num 7, cost 723.380000, nodes: 0(120000.00, 120000.00) 83 702 557 415 762 0(68330.00, 68330.00)
route 111, node_num 7, cost 1328.740000, nodes: 0(120000.00, 120000.00) 660 515 869 42 747 274 0(25090.00, 25090.00)
route 112, node_num 8, cost 677.236000, nodes: 0(120000.00, 120000.00) 489 320 291 211 724 575 0(71626.00, 71626.00)
route 113, node_num 7, cost 641.480000, nodes: 0(120000.00, 120000.00) 355 706 312 737 349 0(74180.00, 74180.00)
route 114, node_num 7, cost 623.616000, nodes: 0(120000.00, 120000.00) 373 397 190 317 195 0(75456.00, 75456.00)
route 115, node_num 7, cost 876.820000, nodes: 0(120000.00, 120000.00) 594 399 184 625 382 0(57370.00, 57370.00)
route 116, node_num 7, cost 733.474000, nodes: 0(120000.00, 120000.00) 780 480 52 464 2 0(67609.00, 67609.00)
route 117, node_num 9, cost 906.864000, nodes: 0(120000.00, 120000.00) 447 406 433 797 451 410 642 0(55224.00, 55224.00)
route 118, node_num 8, cost 1020.152000, nodes: 0(120000.00, 120000.00) 259 538 84 445 297 419 0(47132.00, 47132.00)
route 119, node_num 9, cost 940.856000, nodes: 0(120000.00, 120000.00) 310 434 248 689 178 579 371 0(52796.00, 52796.00)
route 120, node_num 7, cost 779.044000, nodes: 0(120000.00, 120000.00) 542 679 609 217 147 0(64354.00, 64354.00)
route 121, node_num 8, cost 1238.650000, nodes: 0(120000.00, 120000.00) 475 565 56 748 295 198 0(31525.00, 31525.00)
route 122, node_num 6, cost 479.234000, nodes: 0(120000.00, 120000.00) 514 44 777 325 0(85769.00, 85769.00)
route 123, node_num 8, cost 818.706000, nodes: 0(120000.00, 120000.00) 682 749 659 341 723 352 0(61521.00, 61521.00)
route 124, node_num 7, cost 911.008000, nodes: 0(120000.00, 120000.00) 731 208 69 223 474 0(54928.00, 54928.00)
route 125, node_num 7, cost 804.300000, nodes: 0(120000.00, 120000.00) 621 90 137 169 168 0(62550.00, 62550.00)
route 126, node_num 7, cost 756.952000, nodes: 0(120000.00, 120000.00) 173 742 733 539 670 0(65932.00, 65932.00)
route 127, node_num 7, cost 1514.982000, nodes: 0(120000.00, 120000.00) 504 108 653 114 109 0(11787.00, 11787.00)
route 128, node_num 6, cost 1294.104000, nodes: 0(120000.00, 120000.00) 225 98 585 662 0(27564.00, 27564.00)
route 129, node_num 7, cost 618.450000, nodes: 0(120000.00, 120000.00) 529 270 249 690 134 0(75825.00, 75825.00)
route 130, node_num 4, cost 359.072000, nodes: 0(120000.00, 120000.00) 132 46 0(94352.00, 94352.00)
route 131, node_num 5, cost 245.616000, nodes: 0(120000.00, 120000.00) 321 885 650 885 242 0(102456.00, 102456.00)
route 132, node_num 7, cost 1369.368000, nodes: 0(120000.00, 120000.00) 192 236 245 773 572 0(22188.00, 22188.00)
route 133, node_num 7, cost 1279.908000, nodes: 0(120000.00, 120000.00) 326 102 655 404 758 0(28578.00, 28578.00)
route 134, node_num 8, cost 1145.242000, nodes: 0(120000.00, 120000.00) 189 375 292 59 523 704 0(38197.00, 38197.00)
route 135, node_num 9, cost 1773.898000, nodes: 0(120000.00, 120000.00) 243 472 712 414 646 509 840(15908.00, 22615.00) 0(0.00, 0.00)
route 136, node_num 8, cost 1377.740000, nodes: 0(120000.00, 120000.00) 153 307 583 48 571 267 0(21590.00, 21590.00)
route 137, node_num 6, cost 1456.266000, nodes: 0(120000.00, 120000.00) 346 667 128 316 0(15981.00, 15981.00)
route 138, node_num 7, cost 1187.410000, nodes: 0(120000.00, 120000.00) 606 19 628 30 193 0(35185.00, 35185.00)
route 139, node_num 7, cost 1384.698000, nodes: 0(120000.00, 120000.00) 688 562 580 648 186 840 0(21093.00, 21093.00)
route 140, node_num 8, cost 1616.216000, nodes: 0(120000.00, 120000.00) 632 156 99 787 598 72 0(4556.00, 4556.00)
route 141, node_num 8, cost 1002.862000, nodes: 0(120000.00, 120000.00) 135 365 611 775 324 340 0(48367.00, 48367.00)
route 142, node_num 9, cost 1589.938000, nodes: 0(120000.00, 120000.00) 460 738 29 564 207 177 868 845(31495.00, 31495.00) 0(6433.00, 6433.00)
route 143, node_num 7, cost 1187.060000, nodes: 0(120000.00, 120000.00) 383 715 772 5 443 0(35210.00, 35210.00)
route 144, node_num 5, cost 1265.656000, nodes: 0(120000.00, 120000.00) 691 675 359 0(29596.00, 29596.00)
route 145, node_num 8, cost 1076.656000, nodes: 0(120000.00, 120000.00) 430 273 27 781 354 435 0(43096.00, 43096.00)
route 146, node_num 8, cost 1430.016000, nodes: 0(120000.00, 120000.00) 379 700 392 73 281 635 0(17856.00, 17856.00)
vehicle (route) number: 147
Total cost: 205215.92
209019.76, 12645.70
209441.86, 12615.74
207895.80, 12613.58
208960.00, 12634.58
207570.53, 12603.05
206105.54, 12617.19
206163.64, 12636.01
205215.92, 12621.34
206715.11, 12604.86
206665.29, 12600.92
