Details of the solution:
route 0, node_num 8, cost 1409.758000, nodes: 0(120000.00, 120000.00) 618 963 842 742 67 477 1016 1025 1099 1079 0(19303.00, 19303.00)
route 23, node_num 9, cost 842.366000, nodes: 0(120000.00, 120000.00) 545 926 925 413 255 1095 171 346 1091 0(59831.00, 59831.00)
route 24, node_num 8, cost 979.454000, nodes: 0(120000.00, 120000.00) 1073 1020 825 344 707 1098 1083 102 601 649 1011 1013 0(50039.00, 50039.00)
route 25, node_num 8, cost 984.088000, nodes: 0(120000.00, 120000.00) 884 1026 237 1026 190 345 668 1071 829 1088 1011 1013 0(49708.00, 49708.00)
route 26, node_num 9, cost 1029.854000, nodes: 0(120000.00, 120000.00) 343 1058 404 867 535 399 380 853 1073 1013 0(46439.00, 46439.00)
route 27, node_num 8, cost 1077.524000, nodes: 0(120000.00, 120000.00) 1028 761 1013 218 773 985 382 77 1060 1013 0(43034.00, 43034.00)
route 28, node_num 8, cost 1045.954000, nodes: 0(120000.00, 120000.00) 1025 1060 804 1016 371 998 740 661 1080 288 1071 1088 1011 1013 0(45289.00, 45289.00)
route 29, node_num 8, cost 1106.462000, nodes: 0(120000.00, 120000.00) 997 1058 353 1093 1083 617 930 739 1090 1080 782 1088 1011 1013 0(40967.00, 40967.00)
route 30, node_num 9, cost 751.114000, nodes: 0(120000.00, 120000.00) 153 563 131 205 625 946 473 0(66349.00, 66349.00)
route 31, node_num 9, cost 523.740000, nodes: 0(120000.00, 120000.00) 839 247 568 82 441 864 42 1091 0(82590.00, 82590.00)
route 32, node_num 8, cost 595.392000, nodes: 0(120000.00, 120000.00) 1004 850 133 1091 1030 403 459 757 310 0(77472.00, 77472.00)
route 33, node_num 9, cost 595.098000, nodes: 0(120000.00, 120000.00) 1033 342 206 314 295 324 354 297 1027 0(77493.00, 77493.00)
route 34, node_num 8, cost 669.676000, nodes: 0(120000.00, 120000.00) 1028 881 838 711 72 156 1000 1027 0(72166.00, 72166.00)
route 35, node_num 8, cost 680.694000, nodes: 0(120000.00, 120000.00) 664 595 98 374 123 336 1091 0(71379.00, 71379.00)
route 36, node_num 9, cost 614.040000, nodes: 0(120000.00, 120000.00) 300 733 359 266 65 268 360 1091 0(76140.00, 76140.00)
route 37, node_num 8, cost 791.742000, nodes: 0(120000.00, 120000.00) 1030 1054 508 136 25 816 841 117 1091 0(63447.00, 63447.00)
route 38, node_num 8, cost 840.000000, nodes: 0(120000.00, 120000.00) 1030 817 110 465 390 830 217 1043 0(60000.00, 60000.00)
route 39, node_num 8, cost 689.948000, nodes: 0(120000.00, 120000.00) 1030 989 719 697 196 891 572 1008 1091 0(70718.00, 70718.00)
route 40, node_num 8, cost 728.896000, nodes: 0(120000.00, 120000.00) 1028 762 1097 634 53 227 119 130 1055 1033 0(67936.00, 67936.00)
route 41, node_num 8, cost 776.706000, nodes: 0(120000.00, 120000.00) 1033 326 1055 885 538 648 1021 641 1069 221 1091 0(64521.00, 64521.00)
route 42, node_num 8, cost 632.828000, nodes: 0(120000.00, 120000.00) 1030 812 657 943 115 515 384 1043 0(74798.00, 74798.00)
route 43, node_num 8, cost 522.914000, nodes: 0(120000.00, 120000.00) 1033 280 987 747 46 488 667 1033 0(82649.00, 82649.00)
route 44, node_num 9, cost 701.232000, nodes: 0(120000.00, 120000.00) 1033 570 777 603 178 491 203 809 1008 1091 0(69912.00, 69912.00)
route 45, node_num 8, cost 813.834000, nodes: 0(120000.00, 120000.00) 1004 1091 475 351 982 586 728 39 1019 0(61869.00, 61869.00)
route 46, node_num 7, cost 743.764000, nodes: 0(120000.00, 120000.00) 1030 662 246 629 169 434 1008 1091 0(66874.00, 66874.00)
route 47, node_num 8, cost 721.490000, nodes: 0(120000.00, 120000.00) 1004 888 375 88 187 37 405 0(68465.00, 68465.00)
route 48, node_num 9, cost 1828.106000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1006 41 292 613 954 562 209 1034 1051(20709.00, 31288.00) 1013 0(0.00, 0.00)
route 49, node_num 9, cost 1826.944000, nodes: 0(120000.00, 120000.00) 1029(89163.00, 89163.00) 1066 1044 378 162 26 672 29 1046 1089(19007.00, 29503.00) 1019 0(0.00, 0.00)
route 50, node_num 9, cost 1763.160000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1006 967 83 996 543 919 356 1084 1051(25348.00, 31288.00) 1013 0(0.00, 0.00)
route 51, node_num 9, cost 1920.688000, nodes: 0(120000.00, 120000.00) 1029(89163.00, 120000.00) 1031 1018 1070 128 770 291 922 869 1084(59900.00, 59900.00) 1020 1073 1013 0(13645.00, 13645.00)
route 52, node_num 10, cost 1777.776000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1003 368 431 590 929 525 1047(50409.00, 50409.00) 682 1003 1085(28305.00, 35289.00) 1020 1073 1013 0(0.00, 0.00)
route 53, node_num 8, cost 1382.906000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 499 520 185 555 635 729 1074 1059 1020 1073 1013 0(21221.00, 21221.00)
route 54, node_num 8, cost 1601.950000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1003 623 79 452 1044 474 818 483 1003 1031 1082 1020 1073 1013 0(5575.00, 5575.00)
route 55, node_num 7, cost 1669.738000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1006 966 418 238 365 526 1034 1006 1074 1059 1020 1073 1013 0(733.00, 733.00)
route 56, node_num 10, cost 1831.970000, nodes: 0(120000.00, 120000.00) 1029(89163.00, 89163.00) 1062 1046 502 176 355 619 769 1041 927 1047 1046 1084 1051 1008(4847.00, 15702.00) 1091 0(0.00, 0.00)
route 57, node_num 10, cost 1712.536000, nodes: 0(120000.00, 120000.00) 1029(89163.00, 89163.00) 1066 181 125 803 788 329 281 1043 1072(6384.00, 8708.00) 0(0.00, 0.00)
route 58, node_num 8, cost 1564.976000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 318 550 643 395 197 955 1018 1057 1074 1059 1020 1073 1013 0(8216.00, 8216.00)
route 59, node_num 7, cost 1428.378000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 941 1062 160 992 822 592 1057 1074 1059 1020 1073 1013 0(17973.00, 17973.00)
route 60, node_num 8, cost 1645.574000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 775 145 519 978 857 588 1034 1006 1074 1059 1020 1073 1013 0(2459.00, 2459.00)
route 61, node_num 8, cost 1624.518000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 760 780 202 703 316 947 1031 1082 1020 1073 1013 0(3963.00, 3963.00)
route 62, node_num 8, cost 1651.160000, nodes: 0(120000.00, 120000.00) 1073 1020 1082 1031 1066 233 1047 149 33 1047 32 1070 426 80 1062 1031 1082 1020 1073 1013 0(2060.00, 2060.00)
route 63, node_num 7, cost 1667.778000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1003 99 680 186 369 466 1003 1031 1082 1020 1073 1013 0(873.00, 873.00)
route 64, node_num 8, cost 1350.720000, nodes: 0(120000.00, 120000.00) 1030 731 1029 1031 260 84 743 594 931 1064 1099 1079 0(23520.00, 23520.00)
route 65, node_num 8, cost 1396.864000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 536 386 1062 348 1066 285 918 897 1045 1011 1013 0(20224.00, 20224.00)
route 66, node_num 7, cost 1471.848000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 876 727 100 101 248 1057 1074 1059 1020 1073 1013 0(14868.00, 14868.00)
route 67, node_num 8, cost 1480.108000, nodes: 0(120000.00, 120000.00) 1073 1026 950 655 632 402 589 986 1051 1013 0(14278.00, 14278.00)
route 68, node_num 8, cost 762.468000, nodes: 0(120000.00, 120000.00) 1012 1079 254 18 240 472 701 457 1099 1079 0(65538.00, 65538.00)
route 69, node_num 8, cost 1362.592000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1057 148 599 673 868 865 52 1009 1020 1073 1013 0(22672.00, 22672.00)
route 70, node_num 8, cost 1241.730000, nodes: 0(120000.00, 120000.00) 1073 1020 389 1009 129 172 644 638 269 1074 1059 1020 1073 1013 0(31305.00, 31305.00)
route 71, node_num 8, cost 1206.926000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 113 1074 866 895 795 1057 94 1074 1059 892 1045 1011 1013 0(33791.00, 33791.00)
route 72, node_num 8, cost 1281.756000, nodes: 0(120000.00, 120000.00) 1073 1020 685 1085 30 1057 24 362 75 1074 1059 448 1020 1073 1013 0(28446.00, 28446.00)
route 73, node_num 8, cost 1131.550000, nodes: 0(120000.00, 120000.00) 921 916 567 304 397 391 1043 0(39175.00, 39175.00)
route 74, node_num 8, cost 1176.434000, nodes: 0(120000.00, 120000.00) 1030 1043 1090 883 332 490 62 1085 949 750 1098 1045 1011 1013 0(35969.00, 35969.00)
route 75, node_num 8, cost 1288.112000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 527 456 764 193 170 744 1074 1059 1020 1073 1013 0(27992.00, 27992.00)
route 76, node_num 8, cost 1223.726000, nodes: 0(120000.00, 120000.00) 1025 537 393 772 620 991 693 1060 1013 0(32591.00, 32591.00)
route 77, node_num 8, cost 1358.112000, nodes: 0(120000.00, 120000.00) 1030 1001 468 640 1006 845 665 915 642 1059 1020 1073 1013 0(22992.00, 22992.00)
route 78, node_num 8, cost 1170.078000, nodes: 0(120000.00, 120000.00) 1025 1088 415 637 886 150 686 1090 161 1026 1095 1011 1013 0(36423.00, 36423.00)
route 79, node_num 8, cost 1146.138000, nodes: 0(120000.00, 120000.00) 1030 1001 272 31 105 447 10 1026 55 1060 1013 0(38133.00, 38133.00)
route 80, node_num 9, cost 1024.128000, nodes: 0(120000.00, 120000.00) 1073 834 1083 630 578 937 27 609 278 1098 1045 1011 1013 0(46848.00, 46848.00)
route 81, node_num 9, cost 1190.994000, nodes: 0(120000.00, 120000.00) 1030 453 565 626 851 1090 74 184 975 1090 1080 1045 1011 1013 0(34929.00, 34929.00)
route 82, node_num 8, cost 1404.396000, nodes: 0(120000.00, 120000.00) 1030 910 3 155 714 377 710 1090 1080 1045 1011 1013 0(19686.00, 19686.00)
route 83, node_num 7, cost 984.732000, nodes: 0(120000.00, 120000.00) 307 605 681 928 122 1060 1013 0(49662.00, 49662.00)
route 84, node_num 6, cost 1074.598000, nodes: 0(120000.00, 120000.00) 142 820 166 192 1060 1013 0(43243.00, 43243.00)
route 85, node_num 8, cost 1353.758000, nodes: 0(120000.00, 120000.00) 1032 513 984 976 647 810 492 1079 0(23303.00, 23303.00)
route 86, node_num 8, cost 1459.052000, nodes: 0(120000.00, 120000.00) 1032 716 51 1039 890 470 293 358 0(15782.00, 15782.00)
route 87, node_num 8, cost 930.594000, nodes: 0(120000.00, 120000.00) 549 396 68 489 1056 786 523 1099 1079 0(53529.00, 53529.00)
route 88, node_num 8, cost 1506.848000, nodes: 0(120000.00, 120000.00) 1025 951 437 245 1068 194 799 1092 158 1064 1099 1079 0(12368.00, 12368.00)
route 89, node_num 8, cost 1263.668000, nodes: 0(120000.00, 120000.00) 1025 319 498 768 141 791 407 1023 1064 1099 1079 0(29738.00, 29738.00)
route 90, node_num 8, cost 932.764000, nodes: 0(120000.00, 120000.00) 493 1036 103 287 446 406 1060 531 1060 1013 0(53374.00, 53374.00)
route 91, node_num 8, cost 1221.374000, nodes: 0(120000.00, 120000.00) 1025 1060 683 334 232 183 600 219 1023 1064 1099 1079 0(32759.00, 32759.00)
route 92, node_num 8, cost 1330.560000, nodes: 0(120000.00, 120000.00) 289 167 879 806 815 712 1032 1099 1079 0(24960.00, 24960.00)
route 93, node_num 9, cost 1296.232000, nodes: 0(120000.00, 120000.00) 1048 561 564 557 507 352 486 376 0(27412.00, 27412.00)
route 94, node_num 8, cost 1410.752000, nodes: 0(120000.00, 120000.00) 294 224 698 606 758 454 1056 1079 0(19232.00, 19232.00)
route 95, node_num 8, cost 1277.906000, nodes: 0(120000.00, 120000.00) 877 480 1022 880 1022 412 1022 220 597 0(28721.00, 28721.00)
route 96, node_num 8, cost 959.266000, nodes: 0(120000.00, 120000.00) 1025 602 1016 720 533 580 754 482 0(51481.00, 51481.00)
route 97, node_num 9, cost 1066.618000, nodes: 0(120000.00, 120000.00) 423 650 1064 912 843 152 40 783 0(43813.00, 43813.00)
route 98, node_num 8, cost 1376.564000, nodes: 0(120000.00, 120000.00) 547 627 230 66 920 428 1052 1060 1013 0(21674.00, 21674.00)
route 99, node_num 8, cost 1397.340000, nodes: 0(120000.00, 120000.00) 969 971 436 935 478 903 1023 1064 1099 1079 0(20190.00, 20190.00)
route 100, node_num 8, cost 818.062000, nodes: 0(120000.00, 120000.00) 1030 766 585 827 417 616 596 1054 1091 0(61567.00, 61567.00)
route 101, node_num 8, cost 1038.478000, nodes: 0(120000.00, 120000.00) 1073 1020 81 127 87 874 503 414 1020 1073 1013 0(45823.00, 45823.00)
route 102, node_num 8, cost 1228.920000, nodes: 0(120000.00, 120000.00) 1073 1020 882 112 231 511 279 252 1029 1013 0(32220.00, 32220.00)
route 103, node_num 9, cost 1054.368000, nodes: 0(120000.00, 120000.00) 1073 1020 939 755 934 126 116 47 778 1098 1045 1011 1013 0(44688.00, 44688.00)
route 104, node_num 8, cost 1277.164000, nodes: 0(120000.00, 120000.00) 1030 1043 430 273 811 69 331 239 1100 1009 1020 1073 1013 0(28774.00, 28774.00)
route 105, node_num 9, cost 943.040000, nodes: 0(120000.00, 120000.00) 1030 1043 317 893 313 6 299 410 679 1020 1073 1013 0(52640.00, 52640.00)
route 106, node_num 8, cost 919.044000, nodes: 0(120000.00, 120000.00) 1030 1043 706 696 139 2 210 333 1033 0(54354.00, 54354.00)
route 107, node_num 8, cost 1224.020000, nodes: 0(120000.00, 120000.00) 1073 1020 749 901 907 337 904 870 1074 1059 1020 1073 1013 0(32570.00, 32570.00)
route 108, node_num 8, cost 1061.326000, nodes: 0(120000.00, 120000.00) 301 1020 1082 394 1082 385 1009 4 44 677 1073 1013 0(44191.00, 44191.00)
route 109, node_num 7, cost 843.150000, nodes: 0(120000.00, 120000.00) 1030 1008 195 734 56 631 387 0(59775.00, 59775.00)
route 110, node_num 9, cost 990.346000, nodes: 0(120000.00, 120000.00) 228 1020 501 504 732 813 71 35 1020 1073 1013 0(49261.00, 49261.00)
route 111, node_num 9, cost 897.316000, nodes: 0(120000.00, 120000.00) 469 1043 263 763 957 581 715 666 1043 0(55906.00, 55906.00)
route 112, node_num 8, cost 1174.978000, nodes: 0(120000.00, 120000.00) 191 676 34 165 779 1029 787 1019 0(36073.00, 36073.00)
route 113, node_num 8, cost 1143.100000, nodes: 0(120000.00, 120000.00) 1030 1043 211 854 821 522 1029 646 771 1029 1013 0(38350.00, 38350.00)
route 114, node_num 8, cost 1029.266000, nodes: 0(120000.00, 120000.00) 1030 257 471 58 730 253 972 1033 0(46481.00, 46481.00)
route 115, node_num 8, cost 1282.050000, nodes: 0(120000.00, 120000.00) 38 855 514 401 1031 97 1031 633 1009 1020 1073 1013 0(28425.00, 28425.00)
route 116, node_num 8, cost 791.588000, nodes: 0(120000.00, 120000.00) 1004 1058 798 621 993 933 1011 624 694 1091 0(63458.00, 63458.00)
route 117, node_num 7, cost 305.368000, nodes: 0(120000.00, 120000.00) 138 831 569 467 509 0(98188.00, 98188.00)
route 118, node_num 9, cost 721.448000, nodes: 0(120000.00, 120000.00) 306 521 913 544 942 9 1054 878 1072 0(68468.00, 68468.00)
route 119, node_num 8, cost 571.886000, nodes: 0(120000.00, 120000.00) 1028 540 212 566 611 512 995 0(79151.00, 79151.00)
route 120, node_num 9, cost 279.272000, nodes: 0(120000.00, 120000.00) 994 484 111 1004 906 689 455 347 0(100052.00, 100052.00)
route 121, node_num 7, cost 449.386000, nodes: 0(120000.00, 120000.00) 911 670 767 290 800 1013 0(87901.00, 87901.00)
route 122, node_num 8, cost 470.876000, nodes: 0(120000.00, 120000.00) 1012 450 109 914 1072 135 858 7 0(86366.00, 86366.00)
route 123, node_num 6, cost 337.106000, nodes: 0(120000.00, 120000.00) 651 57 201 636 0(95921.00, 95921.00)
route 124, node_num 7, cost 475.426000, nodes: 0(120000.00, 120000.00) 1028 1097 1038 808 23 357 458 14 0(86041.00, 86041.00)
route 125, node_num 9, cost 464.338000, nodes: 0(120000.00, 120000.00) 1033 338 674 639 970 216 713 445 0(86833.00, 86833.00)
route 126, node_num 6, cost 189.154000, nodes: 0(120000.00, 120000.00) 277 315 902 628 0(106489.00, 106489.00)
route 127, node_num 8, cost 629.902000, nodes: 0(120000.00, 120000.00) 1012 21 862 93 1079 1058 726 451 124 1013 0(75007.00, 75007.00)
route 128, node_num 9, cost 748.034000, nodes: 0(120000.00, 120000.00) 1027 579 61 587 1097 656 70 1038 270 1027 724 1038 0(66569.00, 66569.00)
route 129, node_num 7, cost 284.620000, nodes: 0(120000.00, 120000.00) 311 738 684 398 462 0(99670.00, 99670.00)
route 130, node_num 8, cost 209.118000, nodes: 0(120000.00, 120000.00) 189 12 973 983 1004 948 908 0(105063.00, 105063.00)
route 131, node_num 8, cost 587.902000, nodes: 0(120000.00, 120000.00) 1033 654 140 174 1097 381 1097 751 1097 737 1086 0(78007.00, 78007.00)
route 132, node_num 5, cost 169.456000, nodes: 0(120000.00, 120000.00) 675 327 286 0(107896.00, 107896.00)
route 133, node_num 8, cost 711.564000, nodes: 0(120000.00, 120000.00) 1028 249 261 1013 175 341 147 1030 1004 741 0(69174.00, 69174.00)
route 134, node_num 8, cost 1054.466000, nodes: 0(120000.00, 120000.00) 1033 340 801 64 721 1094 871 173 1094 1033 0(44681.00, 44681.00)
route 135, node_num 8, cost 796.488000, nodes: 0(120000.00, 120000.00) 1033 658 518 95 121 63 500 0(63108.00, 63108.00)
route 136, node_num 9, cost 1095.276000, nodes: 0(120000.00, 120000.00) 1033 339 583 305 204 495 968 411 1069 0(41766.00, 41766.00)
route 137, node_num 7, cost 1110.998000, nodes: 0(120000.00, 120000.00) 1030 1008 1019 8 262 952 298 60 1019 0(40643.00, 40643.00)
route 138, node_num 8, cost 1200.346000, nodes: 0(120000.00, 120000.00) 1033 1021 487 1096 516 392 49 1067 199 1067 159 1019 0(34261.00, 34261.00)
route 139, node_num 8, cost 1329.062000, nodes: 0(120000.00, 120000.00) 1030 1043 964 793 243 76 852 717 1007 1089 1019 0(25067.00, 25067.00)
route 140, node_num 8, cost 1085.168000, nodes: 0(120000.00, 120000.00) 1033 1069 785 251 554 20 615 889 1086 0(42488.00, 42488.00)
route 141, node_num 8, cost 1197.854000, nodes: 0(120000.00, 120000.00) 1030 17 416 1007 745 746 400 86 1019 0(34439.00, 34439.00)
route 142, node_num 8, cost 1086.274000, nodes: 0(120000.00, 120000.00) 1030 225 213 22 146 207 363 1019 0(42409.00, 42409.00)
route 143, node_num 7, cost 1181.474000, nodes: 0(120000.00, 120000.00) 1030 1008 1019 1089 652 497 383 496 28 1072 0(35609.00, 35609.00)
route 144, node_num 7, cost 926.142000, nodes: 0(120000.00, 120000.00) 1033 1069 990 1024 559 823 443 669 1019 0(53847.00, 53847.00)
route 145, node_num 8, cost 1120.882000, nodes: 0(120000.00, 120000.00) 226 302 539 349 259 1096 722 1024 1055 1033 0(39937.00, 39937.00)
route 146, node_num 9, cost 1093.596000, nodes: 0(120000.00, 120000.00) 1033 1021 137 663 593 438 1024 510 323 283 1019 0(41886.00, 41886.00)
route 147, node_num 8, cost 1007.566000, nodes: 0(120000.00, 120000.00) 1033 168 321 256 188 364 645 1008 1091 0(48031.00, 48031.00)
route 148, node_num 8, cost 1191.890000, nodes: 0(120000.00, 120000.00) 1033 1069 832 894 844 974 370 847 1019 0(34865.00, 34865.00)
route 149, node_num 8, cost 960.414000, nodes: 0(120000.00, 120000.00) 1033 1069 1055 797 796 981 529 807 271 1055 1033 0(51399.00, 51399.00)
route 150, node_num 8, cost 1052.170000, nodes: 0(120000.00, 120000.00) 959 505 422 924 573 748 1043 0(44845.00, 44845.00)
route 151, node_num 8, cost 1598.436000, nodes: 0(120000.00, 120000.00) 1030 1008 1019 1075 1015 1076 614 439 229 350 325 104 1049 1029 1013 0(5826.00, 5826.00)
route 152, node_num 8, cost 1339.730000, nodes: 0(120000.00, 120000.00) 1030 1008 1019 303 89 485 846 106 265 1033 0(24305.00, 24305.00)
route 153, node_num 8, cost 1607.298000, nodes: 0(120000.00, 120000.00) 1030 1043 1009 85 849 143 528 198 13 1082 1020 1073 1013 0(5193.00, 5193.00)
route 154, node_num 8, cost 1354.682000, nodes: 0(120000.00, 120000.00) 1030 1043 953 887 494 264 308 1014 1082 575 1073 1013 0(23237.00, 23237.00)
route 155, node_num 8, cost 1377.838000, nodes: 0(120000.00, 120000.00) 660 96 120 151 774 214 1002 1009 1020 1073 1013 0(21583.00, 21583.00)
route 156, node_num 8, cost 1310.960000, nodes: 0(120000.00, 120000.00) 1073 1020 1082 16 898 442 1002 222 814 258 1033 0(26360.00, 26360.00)
route 157, node_num 8, cost 1654.842000, nodes: 0(120000.00, 120000.00) 1030 1043 1009 179 1002 958 276 856 517 835 1077 1031 1082 1020 1073 1013 0(1797.00, 1797.00)
route 158, node_num 8, cost 1383.718000, nodes: 0(120000.00, 120000.00) 1030 1008 1019 1067 1049 574 945 552 208 59 1015 1075 909 1019 0(21163.00, 21163.00)
route 159, node_num 8, cost 1678.012000, nodes: 0(120000.00, 120000.00) 1073 1020 1082 1031 1066 1010 956 1061 860 607 723 1081 5 236 1010 1062 1031 1082 1020 1073 1013 0(142.00, 142.00)
route 160, node_num 7, cost 1398.572000, nodes: 0(120000.00, 120000.00) 1073 1020 1082 705 752 690 15 530 1054 1091 0(20102.00, 20102.00)
route 161, node_num 8, cost 1414.196000, nodes: 0(120000.00, 120000.00) 1030 1043 1087 556 687 598 54 435 48 1049 1029 1013 0(18986.00, 18986.00)
route 162, node_num 8, cost 1496.082000, nodes: 0(120000.00, 120000.00) 1073 1020 1082 1031 1066 132 107 408 476 1066 373 432 1009 1020 1073 1013 0(13137.00, 13137.00)
route 163, node_num 9, cost 1822.464000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1057 1046 765 460 223 692 215 753 1063 1089(19327.00, 29503.00) 1019 0(0.00, 0.00)
route 164, node_num 10, cost 1733.060000, nodes: 0(120000.00, 120000.00) 1030 1007 1078(75834.00, 75834.00) 591 429 936 940 45 776 1010 1007 1089 1019(20960.00, 24750.00) 0(0.00, 0.00)
route 165, node_num 8, cost 1500.716000, nodes: 0(120000.00, 120000.00) 1030 1008 1019 1 91 425 134 725 840 1014 1082 1020 1073 1013 0(12806.00, 12806.00)
route 166, node_num 12, cost 1636.754000, nodes: 0(120000.00, 120000.00) 1030 1007(82589.00, 82589.00) 790 1061(64898.00, 64898.00) 900 546 1061(62484.00, 62484.00) 873 182 671 1077 1007(40513.00, 40513.00) 1089 1019 0(3089.00, 3089.00)
route 167, node_num 8, cost 1583.960000, nodes: 0(120000.00, 120000.00) 1030 1008 1019 702 449 792 612 872 1076 372 1033 0(6860.00, 6860.00)
vehicle (route) number: 168
Total cost: 240559.58
245980.02, 16225.05
245048.37, 16228.63
245439.43, 16227.09
243497.21, 16220.91
242497.38, 16228.46
243287.53, 16229.23
241850.90, 16203.85
240559.58, 16202.86
240773.34, 16206.64
240590.83, 16207.90
