Details of the solution:
route 0, node_num 9, cost 947.100000, nodes: 0(120000.00, 120000.00) 315 1087 356 335 121 986 723 198 0(52350.00, 52350.00)
route 154, node_num 8, cost 920.416000, nodes: 0(120000.00, 120000.00) 896 932 342 216 232 80 0(54256.00, 54256.00)
route 155, node_num 7, cost 1097.810000, nodes: 0(120000.00, 120000.00) 150 890 483 887 974 0(41585.00, 41585.00)
route 156, node_num 7, cost 488.516000, nodes: 0(120000.00, 120000.00) 222 86 776 908 784 0(85106.00, 85106.00)
route 157, node_num 7, cost 642.082000, nodes: 0(120000.00, 120000.00) 489 886 52 464 2 0(74137.00, 74137.00)
route 158, node_num 9, cost 983.108000, nodes: 0(120000.00, 120000.00) 528 406 587 797 881 410 642 0(49778.00, 49778.00)
route 159, node_num 7, cost 1508.318000, nodes: 0(120000.00, 120000.00) 516 582 194 902 202 0(12263.00, 12263.00)
route 160, node_num 7, cost 1351.210000, nodes: 0(120000.00, 120000.00) 285 31 602 348 976 0(23485.00, 23485.00)
route 161, node_num 7, cost 1003.604000, nodes: 0(120000.00, 120000.00) 731 804 850 297 382 0(48314.00, 48314.00)
route 162, node_num 8, cost 823.340000, nodes: 0(120000.00, 120000.00) 621 399 184 625 662 137 0(61190.00, 61190.00)
route 163, node_num 8, cost 920.542000, nodes: 0(120000.00, 120000.00) 326 551 955 578 459 428 0(54247.00, 54247.00)
route 164, node_num 8, cost 1610.490000, nodes: 0(120000.00, 120000.00) 351 618 852 697 319 543 0(4965.00, 4965.00)
route 165, node_num 8, cost 889.658000, nodes: 0(120000.00, 120000.00) 801 588 574 299 20 494 0(56453.00, 56453.00)
route 166, node_num 8, cost 518.868000, nodes: 0(120000.00, 120000.00) 481 362 570 426 832 918 0(82938.00, 82938.00)
route 167, node_num 8, cost 747.908000, nodes: 0(120000.00, 120000.00) 389 120 750 62 699 927 0(66578.00, 66578.00)
route 168, node_num 7, cost 756.868000, nodes: 0(120000.00, 120000.00) 764 668 21 256 37 0(65938.00, 65938.00)
route 169, node_num 8, cost 371.616000, nodes: 0(120000.00, 120000.00) 265 935 525 909 634 500 0(93456.00, 93456.00)
route 170, node_num 7, cost 1087.562000, nodes: 0(120000.00, 120000.00) 1080 278 210 904 38 990 0(42317.00, 42317.00)
route 171, node_num 6, cost 682.570000, nodes: 0(120000.00, 120000.00) 838 71 727 490 0(71245.00, 71245.00)
route 172, node_num 8, cost 1299.746000, nodes: 0(120000.00, 120000.00) 492 676 227 437 925 871 0(27161.00, 27161.00)
route 173, node_num 8, cost 1181.152000, nodes: 0(120000.00, 120000.00) 244 714 666 24 756 294 0(35632.00, 35632.00)
route 174, node_num 8, cost 916.804000, nodes: 0(120000.00, 120000.00) 366 412 593 454 819 969 0(54514.00, 54514.00)
route 175, node_num 8, cost 880.404000, nodes: 0(120000.00, 120000.00) 83 725 503 180 511 872 0(57114.00, 57114.00)
route 176, node_num 7, cost 624.848000, nodes: 0(120000.00, 120000.00) 355 320 291 211 724 0(75368.00, 75368.00)
route 177, node_num 7, cost 932.750000, nodes: 0(120000.00, 120000.00) 497 794 980 607 1001 788 0(53375.00, 53375.00)
route 178, node_num 8, cost 1099.854000, nodes: 0(120000.00, 120000.00) 677 81 952 175 234 755 0(41439.00, 41439.00)
route 179, node_num 8, cost 1654.744000, nodes: 0(120000.00, 120000.00) 613 605 339 85 495 123 0(1804.00, 1804.00)
route 180, node_num 8, cost 973.574000, nodes: 0(120000.00, 120000.00) 757 453 524 761 678 154 0(50459.00, 50459.00)
route 181, node_num 7, cost 755.888000, nodes: 0(120000.00, 120000.00) 214 958 96 422 584 0(66008.00, 66008.00)
route 182, node_num 9, cost 906.892000, nodes: 0(120000.00, 120000.00) 411 283 209 136 800 692 47 0(55222.00, 55222.00)
route 183, node_num 7, cost 1058.288000, nodes: 0(120000.00, 120000.00) 77 891 407 155 940 0(44408.00, 44408.00)
vehicle (route) number: 184
Total cost: 256229.79
258406.27, 16221.89
260653.12, 19603.37
258156.93, 23152.29
257145.35, 18314.13
257214.46, 16574.14
257683.73, 16699.19
260466.97, 16212.79
257601.93, 16442.60
256229.79, 12242.95
256844.92, 10850.07
